Zipcode,Household Income,Population,Median Age,Per Capita Income,Poverty Count,White Population,Male Median Age,Female Median Age,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,% White,% F20-24,% F25-29,% F30-34,% F35-44,% F45-54
64145,71611.0,5249.0,51.2,41979.0,312.0,4276.0,52.1,56.6,69.0,86.0,123.0,203.0,224.0,0.8146313583539722,0.013145361021146886,0.01638407315679177,0.023433034863783578,0.03867403314917127,0.04267479519908554
64105,59474.0,4679.0,29.8,50084.0,761.0,3701.0,30.0,28.7,360.0,486.0,289.0,152.0,91.0,0.7909809788416329,0.07693951699081,0.1038683479375935,0.06176533447317803,0.032485573840564226,0.01944860012823253
64123,35290.0,9580.0,33.6,16047.0,2647.0,4284.0,40.1,40.6,59.0,95.0,217.0,333.0,232.0,0.4471816283924843,0.0061586638830897706,0.009916492693110648,0.02265135699373695,0.03475991649269311,0.024217118997912318
64110,42550.0,17176.0,30.0,28339.0,3510.0,9110.0,31.1,28.6,932.0,515.0,379.0,633.0,345.0,0.530391243595715,0.054261760596180715,0.029983698183511875,0.022065673032137866,0.03685374941779227,0.020086166744294365
64137,47324.0,10646.0,31.5,23454.0,1836.0,6048.0,31.6,35.0,267.0,412.0,358.0,204.0,288.0,0.56810069509675,0.025079842194251363,0.03869998121360135,0.033627653578808946,0.01916212662032688,0.02705241405222619
64155,84614.0,22917.0,36.5,34047.0,909.0,19786.0,36.9,38.3,513.0,626.0,1098.0,1315.0,1348.0,0.8633765327049788,0.022385128943579004,0.02731596631321726,0.04791203037046734,0.05738098354933019,0.0588209626041803
64109,32131.0,9647.0,36.6,24787.0,2201.0,3898.0,34.2,32.1,202.0,256.0,324.0,214.0,198.0,0.4040634394112159,0.020939152068000413,0.026536747175287655,0.03358557064372344,0.022183062091842023,0.020524515393386546
64154,73458.0,10895.0,36.5,39632.0,588.0,8355.0,37.7,43.4,228.0,377.0,321.0,586.0,633.0,0.7668655346489215,0.020927030748049563,0.03460302891234511,0.029463056447911886,0.053786140431390544,0.058100045892611286
64151,71190.0,26777.0,38.0,37519.0,2830.0,21619.0,36.9,40.9,714.0,673.0,635.0,1462.0,1478.0,0.8073719983567987,0.026664674907569928,0.02513351010195317,0.02371438174552788,0.054599096239309856,0.055196623968331034
64124,26512.0,10626.0,33.0,15125.0,3658.0,4807.0,36.0,39.0,144.0,146.0,116.0,377.0,329.0,0.4523809523809524,0.01355166572557877,0.013739883305100696,0.010916619612271786,0.035479013739883304,0.030961791831357048
64116,49352.0,15576.0,38.9,36730.0,1662.0,12317.0,38.4,46.0,499.0,503.0,338.0,617.0,943.0,0.7907678479712378,0.03203646635850026,0.03229327170005136,0.02170005136106831,0.03961222393425783,0.06054185927067283
64120,34417.0,383.0,35.0,21622.0,71.0,335.0,27.9,35.6,4.0,0.0,13.0,39.0,9.0,0.8746736292428199,0.010443864229765013,0.0,0.033942558746736295,0.10182767624020887,0.02349869451697128
64139,113553.0,2079.0,41.3,44231.0,19.0,1519.0,44.9,45.8,21.0,23.0,35.0,120.0,135.0,0.7306397306397306,0.010101010101010102,0.011063011063011063,0.016835016835016835,0.05772005772005772,0.06493506493506493
64152,88919.0,29231.0,39.6,46684.0,962.0,26215.0,41.0,40.2,537.0,720.0,743.0,1804.0,2125.0,0.8968218671957853,0.01837090759809791,0.024631384489069822,0.025418220382470665,0.06171530224761383,0.0726967944989908
64129,39396.0,8881.0,35.8,22216.0,1468.0,4360.0,40.9,36.0,84.0,198.0,187.0,219.0,233.0,0.49093570543857673,0.009458394324963405,0.022294786623128025,0.02105618736628758,0.02465938520436888,0.026235784258529446
64158,82739.0,5041.0,32.4,33615.0,240.0,4131.0,32.3,33.2,146.0,177.0,122.0,230.0,343.0,0.819480261852807,0.0289625074390002,0.035112080936322156,0.02420154731204126,0.04562586788335648,0.06804205514778813
64106,31140.0,9326.0,29.5,23534.0,3294.0,3912.0,33.5,30.3,235.0,304.0,275.0,185.0,112.0,0.41947244263349776,0.02519837014797341,0.03259704053184645,0.02948745442847952,0.019837014797340766,0.012009435985417113
64111,48105.0,17801.0,31.4,35777.0,2691.0,14055.0,32.6,30.2,1078.0,1361.0,779.0,789.0,680.0,0.7895623841357227,0.060558395595753045,0.0764563788551205,0.04376158642772878,0.04432335262063929,0.03820010111791473
64128,24421.0,11379.0,38.9,15486.0,4012.0,1407.0,32.8,31.1,48.0,78.0,73.0,98.0,44.0,0.12364882678618508,0.004218296862641709,0.006854732401792776,0.006415326478600931,0.008612356094560155,0.003866772124088233
64118,55690.0,42706.0,35.7,27636.0,5711.0,33014.0,38.4,41.4,845.0,1573.0,1350.0,2077.0,1855.0,0.7730529667962347,0.01978644686929237,0.03683323186437503,0.031611483163958225,0.0486348522455861,0.04343651945862408
64117,46514.0,14673.0,35.0,22841.0,2530.0,11150.0,36.5,37.3,494.0,436.0,351.0,916.0,652.0,0.759899134464663,0.03366728003816534,0.029714441491174266,0.02392148844817011,0.06242758808696245,0.04443535745927895
64136,36538.0,2220.0,40.1,33936.0,518.0,1385.0,43.1,48.6,111.0,19.0,40.0,66.0,58.0,0.6238738738738738,0.05,0.008558558558558558,0.018018018018018018,0.02972972972972973,0.026126126126126126
64126,20699.0,6148.0,28.0,11217.0,2749.0,2666.0,37.7,38.2,86.0,163.0,55.0,182.0,148.0,0.433636955107352,0.01398828887443071,0.026512687052700067,0.008945998698763826,0.02960312296681848,0.024072869225764477
64157,112481.0,19918.0,34.4,43358.0,252.0,17159.0,35.1,34.7,256.0,456.0,516.0,1889.0,1100.0,0.8614820765137062,0.012852696053820665,0.02289386484586806,0.02590621548348228,0.09483883924088764,0.05522642835626067
64156,111000.0,7935.0,35.3,48958.0,216.0,7126.0,37.7,35.6,190.0,253.0,357.0,605.0,601.0,0.8980466288594833,0.023944549464398234,0.03188405797101449,0.04499054820415879,0.07624448645242596,0.07574039067422811
64163,56250.0,748.0,44.9,25425.0,118.0,558.0,51.2,51.7,28.0,18.0,13.0,20.0,65.0,0.7459893048128342,0.0374331550802139,0.02406417112299465,0.017379679144385027,0.026737967914438502,0.08689839572192513
64153,77874.0,5234.0,37.3,38573.0,331.0,4523.0,37.3,37.5,141.0,108.0,188.0,452.0,263.0,0.8641574321742453,0.026939243408482996,0.020634314100114636,0.03591899121131066,0.08635842567825755,0.050248376003056934
64161,67250.0,300.0,49.3,32376.0,27.0,276.0,51.1,52.5,2.0,0.0,7.0,16.0,24.0,0.92,0.006666666666666667,0.0,0.023333333333333334,0.05333333333333334,0.08
64147,7622.0,581.0,19.0,3712.0,400.0,162.0,20.2,21.3,29.0,19.0,0.0,0.0,16.0,0.27882960413080893,0.04991394148020654,0.03270223752151463,0.0,0.0,0.027538726333907058
64167,158125.0,446.0,48.6,51045.0,0.0,446.0,30.8,52.8,38.0,0.0,13.0,0.0,44.0,1.0,0.08520179372197309,0.0,0.02914798206278027,0.0,0.09865470852017937
64166,75536.0,285.0,61.9,36354.0,0.0,285.0,61.8,64.0,0.0,0.0,21.0,10.0,0.0,1.0,0.0,0.0,0.07368421052631578,0.03508771929824561,0.0
64165,109844.0,215.0,38.0,31150.0,0.0,215.0,43.6,37.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.20930232558139536,0.0
64068,71598.0,38439.0,39.1,34261.0,2479.0,35466.0,37.4,42.2,1025.0,1131.0,1004.0,2661.0,2542.0,0.9226566768126122,0.026665626056869327,0.029423242019823617,0.026119305913265174,0.06922656676812612,0.06613075262103593
64012,64489.0,27190.0,38.6,30379.0,2548.0,24636.0,37.6,42.0,608.0,816.0,846.0,1445.0,1690.0,0.9060684075027584,0.022361162191982347,0.030011033468186833,0.031114380286870174,0.05314453843324752,0.06215520411916146
64052,43965.0,20297.0,40.9,23206.0,3136.0,15524.0,45.4,50.6,314.0,604.0,411.0,900.0,1220.0,0.7648420948908706,0.015470266541853475,0.029758092328915603,0.020249297925801844,0.04434152830467557,0.06010740503522688
64030,44971.0,25150.0,32.8,23066.0,3753.0,13024.0,34.9,36.0,563.0,562.0,510.0,645.0,880.0,0.5178528827037774,0.02238568588469185,0.02234592445328032,0.020278330019880716,0.025646123260437376,0.03499005964214712
